OBJECTID,BikeAge,CrashDay,CrashHour,CrashLocation,Light,RoadCondition,RoadConfig,SpeedLimit,Weather
60,11,Thursday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
61,40,Wednesday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
62,15,Sunday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
63,7,Saturday,19,Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Cloudy
64,6,Wednesday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
65,13,Wednesday,7,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
66,5,Wednesday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
67,7,Friday,0,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
68,15,Friday,15,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",30 - 35  MPH,Clear
69,20,Monday,19,Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
70,16,Monday,17,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
71,11,Sunday,16,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
72,20,Tuesday,22,Intersection,Dark - Lighted Roadway,Wet,"Two-Way, Not Divided",40 - 45  MPH,Rain
73,45,Wednesday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
74,34,Friday,18,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
75,38,Friday,7,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
76,30,Sunday,18,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
77,19,Tuesday,7,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
78,38,Tuesday,7,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
79,48,Tuesday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
80,17,Friday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Cloudy
81,53,Monday,16,Non-Intersection,Daylight,"Sand, Mud, Dirt, Gravel","Two-Way, Not Divided",50 - 55  MPH,Clear
82,12,Tuesday,19,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
83,17,Thursday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
84,42,Thursday,18,Intersection,Dusk,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
85,20,Friday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
86,14,Tuesday,19,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
87,15,Friday,14,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
88,34,Friday,23,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
89,15,Saturday,16,Intersection-Related,Daylight,Dry,"Two-Way, Divided, Unprotected Median",50 - 55  MPH,Clear
90,19,Saturday,10,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
91,23,Tuesday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
92,15,Wednesday,18,Intersection-Related,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
93,55,Wednesday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
94,11,Saturday,16,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
95,46,Friday,18,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
96,20,Tuesday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
97,53,Tuesday,7,Intersection,Dawn,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
98,61,Thursday,16,Non-Intersection,Daylight,Wet,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
99,54,Thursday,9,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
100,46,Saturday,19,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
101,15,Monday,18,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
102,65,Tuesday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
103,49,Thursday,19,Intersection,Dusk,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
104,37,Tuesday,7,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
105,45,Thursday,15,Intersection,Daylight,Wet,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
106,56,Wednesday,18,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
107,6,Wednesday,17,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
108,16,Friday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
109,36,Friday,17,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",30 - 35  MPH,Clear
110,32,Saturday,22,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
111,5,Saturday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
112,6,Sunday,13,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
113,52,Sunday,19,Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
114,34,Tuesday,0,Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
115,23,Tuesday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
116,20,Tuesday,10,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
117,12,Wednesday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
118,50,Wednesday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
119,44,Wednesday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
120,41,Wednesday,11,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
121,10,Wednesday,19,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
122,41,Wednesday,19,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
123,53,Friday,11,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
124,8,Thursday,7,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
125,8,Tuesday,18,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
126,46,Friday,14,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
127,18,Friday,8,Intersection,Daylight,Wet,"Two-Way, Divided, Unprotected Median",50 - 55  MPH,Cloudy
128,15,Friday,15,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
129,46,Friday,22,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
130,7,Monday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
131,64,Sunday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
132,,Saturday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
133,35,Saturday,11,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
134,65,Sunday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
135,53,Monday,11,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
136,45,Monday,19,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
137,20,Monday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
138,12,Wednesday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
139,13,Tuesday,19,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
140,10,Tuesday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
141,28,Wednesday,23,Non-Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
142,19,Thursday,0,Non-Intersection,Dark - Roadway Not Lighted,Dry,"One-Way, Not Divided",50 - 55  MPH,Clear
143,16,Friday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
144,36,Thursday,11,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
145,49,Friday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
146,15,Sunday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
147,13,Sunday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
148,51,Sunday,16,Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",30 - 35  MPH,Clear
149,61,Sunday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
150,54,Thursday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
151,33,Sunday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
152,6,Monday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
153,14,Tuesday,18,Non-Intersection,Dusk,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
154,51,Tuesday,12,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Cloudy
155,12,Sunday,12,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
156,62,Tuesday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
157,17,Thursday,21,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
158,13,Saturday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
159,54,Monday,20,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
160,37,Tuesday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
161,21,Wednesday,1,Intersection-Related,Dark - Lighted Roadway,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
162,15,Monday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
163,46,Thursday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
164,7,Friday,19,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
165,35,Friday,11,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
166,14,Thursday,19,Intersection-Related,Dusk,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
167,25,Friday,17,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
168,36,Friday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
169,12,Wednesday,13,Intersection,Daylight,Dry,"One-Way, Not Divided",20 - 25  MPH,Clear
170,6,Saturday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
171,18,Monday,23,Intersection,Dark - Unknown Lighting,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
172,7,Saturday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
173,38,Saturday,19,Non-Roadway,Daylight,Dry,Unknown,5 - 15 MPH,Clear
174,13,Sunday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
175,51,Sunday,13,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
176,17,Monday,18,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
177,15,Monday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
178,51,Monday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Cloudy
179,51,Monday,8,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
180,6,Tuesday,15,Non-Intersection,Daylight,Dry,"One-Way, Not Divided",5 - 15 MPH,Clear
181,33,Tuesday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
182,7,Wednesday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
183,7,Wednesday,18,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
184,16,Wednesday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
185,11,Wednesday,10,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
186,999,Thursday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
187,7,Wednesday,18,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",20 - 25  MPH,Clear
188,12,Thursday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
189,65,Thursday,12,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
190,12,Friday,18,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
191,36,Friday,16,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
192,41,Thursday,17,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
193,23,Saturday,14,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
194,40,Saturday,16,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
195,47,Friday,17,Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",30 - 35  MPH,Clear
196,21,Friday,13,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
197,30,Wednesday,10,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
198,13,Monday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
199,43,Saturday,12,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
200,15,Monday,14,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
201,12,Monday,20,Non-Intersection,Dusk,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
202,8,Tuesday,17,Intersection-Related,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
203,16,Tuesday,13,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
204,18,Tuesday,22,Intersection-Related,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
205,39,Thursday,21,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
206,35,Thursday,13,Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
207,25,Sunday,9,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
208,20,Wednesday,10,Non-Intersection,Daylight,Wet,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Cloudy
209,46,Thursday,5,Non-Intersection,Dark - Roadway Not Lighted,Wet,"Two-Way, Divided, Unprotected Median",50 - 55  MPH,"Fog, Smog, Smoke"
210,16,Thursday,19,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
211,11,Friday,14,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
212,16,Friday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
213,5,Friday,17,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",5 - 15 MPH,Clear
214,14,Friday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
215,45,Friday,1,Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
216,29,Tuesday,15,Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
217,34,Saturday,21,Non-Intersection,Dark - Lighted Roadway,Wet,"Two-Way, Not Divided",30 - 35  MPH,Rain
218,20,Monday,22,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
219,5,Monday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
220,8,Tuesday,18,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
221,10,Tuesday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
222,29,Tuesday,10,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Positive Median Barrier",30 - 35  MPH,Clear
223,39,Tuesday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",40 - 45  MPH,Clear
224,39,Tuesday,9,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",40 - 45  MPH,Clear
225,37,Tuesday,7,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
226,9,Tuesday,16,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
227,41,Tuesday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
228,21,Wednesday,21,Intersection,Dark - Lighted Roadway,Dry,"Two-Way, Not Divided",40 - 45  MPH,Other
229,40,Thursday,15,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
230,11,Saturday,17,Non-Roadway,Daylight,Dry,"Two-Way, Not Divided",20 - 25  MPH,Clear
231,20,Thursday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
232,35,Saturday,16,Intersection,Daylight,Dry,"One-Way, Not Divided",40 - 45  MPH,Clear
233,21,Thursday,21,Intersection,Dark - Lighted Roadway,Wet,"Two-Way, Divided, Unprotected Median",20 - 25  MPH,Rain
234,7,Friday,19,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
235,999,Saturday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
236,26,Wednesday,19,Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",Unknown,Clear
237,6,Saturday,13,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
238,13,Sunday,17,Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
239,18,Monday,12,Non-Roadway,Daylight,Dry,"Two-Way, Divided, Unprotected Median",5 - 15 MPH,Clear
240,59,Wednesday,19,Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
241,9,Monday,17,Non-Intersection,Daylight,Dry,"Two-Way, Divided, Unprotected Median",30 - 35  MPH,Clear
242,9,Monday,19,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",Unknown,Clear
243,48,Tuesday,21,Non-Intersection,Dark - Roadway Not Lighted,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
244,24,Tuesday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",30 - 35  MPH,Clear
245,15,Tuesday,17,Non-Intersection,Daylight,Dry,"Two-Way, Not Divided",50 - 55  MPH,Clear
